Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
Signature Bank,PR-018-2023; PR-021-2023,12-Mar-23,"$110,400.00 ","$88,600.00 "
Silicon Valley Bank,"PR-019-2023, PR-023-2023",10-Mar-23,"$209,000.00 ","$175,400.00 "
Almena State Bank,PR-119-2020,23-Oct-20,$70.00 ,$68.70 
First City Bank of Florida,PR-112-2020,16-Oct-20,$134.70 ,$131.40 
First State Bank,PR-046-2020,3-Apr-20,$152.40 ,$139.50 
Ericson State Bank,PR-011-2020,14-Feb-20,$100.90 ,$95.20 
City National Bank of New Jersey,PR-101-2019,1-Nov-19,$120.60 ,$111.20 
Resolute Bank,PR-097-2019,25-Oct-19,$27.10 ,$26.20 
Louisa Community Bank,PR-096-2019,25-Oct-19,$29.70 ,$26.50 
The Enloe State Bank,PR-046-2019,31-May-19,$36.70 ,$31.30 
Washington Federal Bank for Savings,PR-096-2017,15-Dec-17,$166.30 ,$144.00 
The Farmers and Merchants State Bank of Argonia,PR-080-2017,13-Oct-17,$34.20 ,$29.60 
Fayette County Bank,PR-041-2017,26-May-17,$34.40 ,$34.00 
Guaranty Bank,PR-037-2017,5-May-17,"$1,000.00 ","$1,000.00 "
First NBC Bank,PR-034-2017,28-Apr-17,"$4,740.00 ","$3,540.00 "
Proficio Bank,PR-019-2017,3-Mar-17,$68.20 ,$65.00 
Seaway Bank and Trust Company,PR-009-2017,27-Jan-17,$361.20 ,$307.10 
Harvest Community Bank,PR-004-2017,13-Jan-17,$126.40 ,$123.80 
Allied Bank,PR-082-2016,23-Sep-16,$66.30 ,$64.70 
The Woodbury Banking Company,PR-069-2016,19-Aug-16,$21.40 ,$21.10 
First CornerStone Bank,PR-038-2016,6-May-16,$103.30 ,$101.00 
Trust Company Bank,PR-034-2016,29-Apr-16,$20.70 ,$20.30 
North Milwaukee State Bank,PR-020-2016,11-Mar-16,$67.10 ,$61.50 
Hometown National Bank,PR-078-2015,2-Oct-15,$4.90 ,$4.70 
The Bank of Georgia,PR-077-2015,2-Oct-15,$294.20 ,$280.70 
Premier Bank,PR-060-2015,10-Jul-15,$31.70 ,$29.60 
Edgebrook Bank,PR-040-2015,8-May-15,$90.00 ,$90.00 
Doral Bank,PR-024-2015,27-Feb-15,"$5,900.00 ","$4,100.00 "
Capitol City Bank & Trust Company,PR-016-2015,13-Feb-15,$272.30 ,$262.70 
Highland Community Bank,PR-007-2015,23-Jan-15,$54.70 ,$53.50 
First National Bank of Crestview,PR-006-2015,16-Jan-15,$79.70 ,$78.60 
Northern Star Bank,PR-112-2014,19-Dec-14,$18.80 ,$18.20 
Frontier Bank,PR-097-2014,7-Nov-14,$86.40 ,$82.10 
The National Republic Bank of Chicago,PR-089-2014,24-Oct-14,$954.40 ,$915.30 
NBRS Financial,PR-085-2014,17-Oct-14,$188.20 ,$183.10 
GreenChoice Bank,PR-062-2014,25-Jul-14,$72.90 ,$71.00 
Eastside Commercial Bank,PR-058-2014,18-Jul-14,$169.00 ,$161.60 
The Freedom State Bank,PR-050-2014,27-Jun-14,$22.80 ,$20.90 
Valley Bank,PR-048-2014,20-Jun-14,$81.80 ,$66.50 
Valley Bank,PR-047-2014,20-Jun-14,$456.40 ,$360.00 
Slavie Federal Savings Bank,PR-041-2014,30-May-14,$140.10 ,$111.10 
Columbia Savings Bank,PR-036-2014,23-May-14,$36.50 ,$29.50 
AztecAmerica Bank,PR-034-2014,16-May-14,$66.30 ,$65.00 
Allendale County Bank,PR-31-2014,25-Apr-14,$54.50 ,$51.00 
